調查日期,國道編號方向,樁號,里程,原始坐標E,原始坐標N,經緯度坐標Lon,經緯度坐標Lat,鋪面種類,路幅寬,全路幅寬,車道數,車道1寬,車道2寬,車道3寬,車道4寬,車道5寬,車道6寬,槽化區,槽化區寬,內路肩,內路肩寬,外路肩,外路肩寬,輔助車道1,輔助車道1寬,輔助車道2,輔助車道2寬,輔助車道3,輔助車道3寬,避車彎,曲率半徑,縱向坡度,橫向坡度
2022/4/25,N0010_SB,036K+900,36900,290678.175,2771996.392,121.4031731,25.05559853,柔性,21.24,21.24,4,3.86,3.706,3.833,0.0,0.0,0.0,無,0.0,有,1.074,有,4.941,加速車道,3.825,無,0.0,無,0.0,無,693.804,0.029,-0.07
2022/4/25,N0010_SB,036K+950,36950,290628.527,2771998.984,121.4026811,25.05562326,柔性,21.288,21.288,4,3.761,3.717,3.87,0.0,0.0,0.0,無,0.0,有,1.056,有,4.988,加速車道,3.896,無,0.0,無,0.0,無,695.273,0.028,-0.071
2022/4/25,N0010_SB,037K+000,37000,290579.643,2772007.921,121.4021969,25.05570526,柔性,21.218,21.218,4,3.755,3.783,3.91,0.0,0.0,0.0,無,0.0,有,1.092,有,4.897,加速車道,3.78,無,0.0,無,0.0,無,667.535,0.028,-0.069
2022/4/25,N0010_SB,037K+050,37050,290529.694,2772017.019,121.4017021,25.05578874,柔性,21.275,21.275,4,3.797,3.682,3.938,0.0,0.0,0.0,無,0.0,有,0.983,有,5.091,加速車道,3.784,無,0.0,無,0.0,無,824.729,0.027,-0.072
2022/4/25,N0010_SB,037K+100,37100,290481.614,2772033.119,121.4012261,25.05593538,柔性,21.196,21.196,4,3.777,3.746,3.921,0.0,0.0,0.0,無,0.0,有,0.995,有,5.027,加速車道,3.732,無,0.0,無,0.0,無,661.687,0.027,-0.069
2022/4/25,N0010_SB,037K+150,37150,290449.613,2772043.347,121.4009092,25.05602858,柔性,21.318,21.318,4,3.751,3.743,3.978,0.0,0.0,0.0,無,0.0,有,1.029,有,5.015,加速車道,3.803,無,0.0,無,0.0,無,523.593,0.027,-0.072
2022/4/25,N0010_SB,037K+200,37200,290419.179,2772057.875,121.400608,25.05616055,柔性,21.187,21.187,4,3.865,3.629,3.937,0.0,0.0,0.0,無,0.0,有,1.126,有,4.808,加速車道,3.821,無,0.0,無,0.0,無,739.603,0.027,-0.069
2022/4/25,N0010_SB,037K+250,37250,290369.617,2772081.302,121.4001174,25.05637337,柔性,21.144,21.144,4,3.89,3.681,3.838,0.0,0.0,0.0,無,0.0,有,1.301,有,4.545,加速車道,3.889,無,0.0,無,0.0,無,706.931,0.027,-0.076
2022/4/25,N0010_SB,037K+300,37300,290323.704,2772111.313,121.3996633,25.05664554,柔性,21.107,21.107,4,3.872,3.687,3.826,0.0,0.0,0.0,無,0.0,有,1.076,有,4.739,加速車道,3.907,無,0.0,無,0.0,無,637.702,0.027,-0.074
2022/4/25,N0010_SB,037K+350,37350,290280.125,2772141.182,121.3992322,25.05691637,柔性,21.143,21.143,4,3.724,3.743,3.879,0.0,0.0,0.0,無,0.0,有,1.104,有,4.87,加速車道,3.822,無,0.0,無,0.0,無,804.743,0.027,-0.069
2022/4/25,N0010_SB,037K+400,37400,290240.986,2772177.131,121.3988454,25.05724196,柔性,21.107,21.107,4,3.718,3.75,3.866,0.0,0.0,0.0,無,0.0,有,1.147,有,4.722,加速車道,3.904,無,0.0,無,0.0,無,862.418,0.029,-0.069
2022/4/25,N0010_SB,037K+450,37450,290202.832,2772212.481,121.3984682,25.05756212,柔性,21.171,21.171,4,3.795,3.697,3.853,0.0,0.0,0.0,無,0.0,有,1.155,有,4.892,加速車道,3.779,無,0.0,無,0.0,無,1008.412,0.029,-0.061
2022/4/25,N0010_SB,037K+500,37500,290169.519,2772252.559,121.3981392,25.05792483,柔性,21.167,21.167,4,3.778,3.802,3.8,0.0,0.0,0.0,無,0.0,有,1.015,有,4.956,加速車道,3.816,無,0.0,無,0.0,無,1609.211,0.029,-0.047
2022/4/25,N0010_SB,037K+550,37550,290138.683,2772287.702,121.3978346,25.05824292,柔性,21.119,21.119,4,3.624,3.793,3.783,0.0,0.0,0.0,無,0.0,有,1.15,有,4.856,加速車道,3.912,無,0.0,無,0.0,無,1995.471,0.028,-0.033
